name	sample	description
10010	FF:10010-101C1	adipose tissue, adult, pool1
10011	FF:10011-101C2	bladder, adult, pool1
10012	FF:10012-101C3	brain, adult, pool1
10013	FF:10013-101C4	cervix, adult, pool1
10014	FF:10014-101C5	colon, adult, pool1
10015	FF:10015-101C6	esophagus, adult, pool1
10016	FF:10016-101C7	heart, adult, pool1
10017	FF:10017-101C8	kidney, adult, pool1
10018	FF:10018-101C9	liver, adult, pool1
10019	FF:10019-101D1	lung, adult, pool1
10020	FF:10020-101D2	ovary, adult, pool1
10021	FF:10021-101D3	placenta, adult, pool1
10022	FF:10022-101D4	prostate, adult, pool1
10023	FF:10023-101D5	skeletal muscle, adult, pool1
10024	FF:10024-101D6	small intestine, adult, pool1
10025	FF:10025-101D7	spleen, adult, pool1
10026	FF:10026-101D8	testis, adult, pool1
10027	FF:10027-101D9	thymus, adult, pool1
10028	FF:10028-101E1	thyroid, adult, pool1
10029	FF:10029-101E2	trachea, adult, pool1
10030	FF:10030-101E3	retina, adult, pool1
10031	FF:10031-101E4	temporal lobe, adult, pool1
10032	FF:10032-101E5	postcentral gyrus, adult, pool1
10033	FF:10033-101E6	pons, adult, pool1
10034	FF:10034-101E7	parietal lobe, adult, pool1
10035	FF:10035-101E8	paracentral gyrus, adult, pool1
10036	FF:10036-101E9	occipital pole, adult, pool1
10037	FF:10037-101F1	nucleus accumbens, adult, pool1
10038	FF:10038-101F2	medulla oblongata, adult, pool1
10039	FF:10039-101F3	insula, adult, pool1
10040	FF:10040-101F4	frontal lobe, adult, pool1
10041	FF:10041-101F5	dura mater, adult, donor1
10042	FF:10042-101F6	corpus callosum, adult, pool1
10043	FF:10043-101F7	thymus, fetal, pool1
10044	FF:10044-101F8	spleen, fetal, pool1
10045	FF:10045-101F9	kidney, fetal, pool1
10046	FF:10046-101G1	heart, fetal, pool1
10047	FF:10047-101G2	tonsil, adult, pool1
10048	FF:10048-101G3	smooth muscle, adult, pool1
10049	FF:10049-101G4	pancreas, adult, donor1
10050	FF:10050-101G5	heart, adult, diseased post-infarction, donor1
10051	FF:10051-101G6	heart, adult, diseased, donor1
10052	FF:10052-101G7	aorta, adult, pool1
10053	FF:10053-101G8	blood, adult, pool1
10054	FF:10054-101G9	eye, fetal, donor1
10055	FF:10055-101H1	uterus, fetal, donor1
10056	FF:10056-101H2	spinal cord, fetal, donor1
10057	FF:10057-101H3	umbilical cord, fetal, donor1
10058	FF:10058-101H4	trachea, fetal, donor1
10059	FF:10059-101H5	tongue, fetal, donor1
10060	FF:10060-101H6	thyroid, fetal, donor1
10061	FF:10061-101H7	throat, fetal, donor1
10062	FF:10062-101H8	stomach, fetal, donor1
10063	FF:10063-101H9	temporal lobe, fetal, donor1
10064	FF:10064-101I1	small intestine, fetal, donor1
10065	FF:10065-101I2	skin, fetal, donor1
10066	FF:10066-101I3	skeletal muscle, fetal, donor1
10067	FF:10067-101I4	rectum, fetal, donor1
10068	FF:10068-101I5	lung, fetal, donor1
10069	FF:10069-101I6	diaphragm, fetal, donor1
10070	FF:10070-101I7	colon, fetal, donor1
10071	FF:10071-101I8	duodenum, fetal, donor1
10072	FF:10072-101I9	parietal lobe, fetal, donor1
10073	FF:10073-102A1	occipital lobe, fetal, donor1
10074	FF:10074-102A2	skin, adult, donor1
10075	FF:10075-102A3	lung, right lower lobe, adult, donor1
10076	FF:10076-102A4	occipital lobe, adult, donor1
10077	FF:10077-102A5	lymph node, adult, donor1
10078	FF:10078-102A6	left ventricle, adult, donor1
10079	FF:10079-102A7	left atrium, adult, donor1
10080	FF:10080-102A8	breast, adult, donor1
10081	FF:10081-102A9	adrenal gland, adult, pool1
10082	FF:10082-102B1	colon, adult, donor1
10083	FF:10083-102B2	cerebellum, adult, pool1
10084	FF:10084-102B3	brain, adult, donor1
10085	FF:10085-102B4	brain, fetal, pool1
10086	FF:10086-102B5	liver, fetal, pool1
10093	FF:10093-102C3	salivary gland, adult, pool1
10096	FF:10096-102C6	testis, adult, pool2
10100	FF:10100-102D1	uterus, adult, pool1
10150	FF:10150-102I6	medial frontal gyrus, adult, donor10252
10151	FF:10151-102I7	amygdala, adult, donor10252
10152	FF:10152-102I8	putamen, adult, donor10252
10153	FF:10153-102I9	hippocampus, adult, donor10252
10154	FF:10154-103A1	thalamus, adult, donor10252
10155	FF:10155-103A2	medulla oblongata, adult, donor10252
10156	FF:10156-103A3	medial temporal gyrus, adult, donor10252
10157	FF:10157-103A4	parietal lobe, adult, donor10252
10158	FF:10158-103A5	substantia nigra, adult, donor10252
10159	FF:10159-103A6	spinal cord, adult, donor10252
10160	FF:10160-103A7	pineal gland, adult, donor10252
10161	FF:10161-103A8	globus pallidus, adult, donor10252
10162	FF:10162-103A9	pituitary gland, adult, donor10252
10163	FF:10163-103B1	occipital cortex, adult, donor10252
10164	FF:10164-103B2	caudate nucleus, adult, donor10252
