miRNA	cellontology	sign	pvalue
hsa-let-7a-5p	mesodermal cell	enriched	1.76195e-07
hsa-let-7a-5p	fibroblast	enriched	1.77294e-07
hsa-let-7a-5p	stem cell	enriched	6.40087e-05
hsa-let-7a-5p	pluripotent stem cell	depleted	1.00817e-21
hsa-let-7a-5p	embryonic stem cell	depleted	1.17099e-12
hsa-let-7a-5p	iPS	depleted	1.04344e-08
hsa-let-7b-5p	fat cell	enriched	2.40241e-06
hsa-let-7b-5p	neural cell	enriched	2.06359e-05
hsa-let-7b-5p	Fibroblast - Mammary	enriched	5.01218e-05
hsa-let-7b-5p	leukocyte	depleted	6.60932e-15
hsa-let-7b-5p	pluripotent stem cell	depleted	1.11358e-13
hsa-let-7b-5p	hematopoietic cell	depleted	4.43912e-10
hsa-let-7c-5p	neural cell	enriched	4.31125e-14
hsa-let-7c-5p	neuronal stem cell	enriched	2.34344e-13
hsa-let-7c-5p	neurectodermal cell	enriched	4.98786e-10
hsa-let-7c-5p	lymphocyte	depleted	3.66136e-16
hsa-let-7c-5p	leukocyte	depleted	2.15673e-12
hsa-let-7c-5p	hematopoietic cell	depleted	1.40852e-11
hsa-let-7d-3p	Fibroblast - Mammary	enriched	1.78942e-07
hsa-let-7d-3p	monocyte	enriched	9.16739e-07
hsa-let-7d-3p	kidney epithelial cell	enriched	7.60647e-06
hsa-let-7d-3p	lymphocyte	depleted	7.15145e-07
hsa-let-7d-3p	GAG secreting cell	depleted	1.30026e-06
hsa-let-7d-3p	ecto-epithelial cell	depleted	2.10254e-06
hsa-let-7e-5p	endothelial cell of vascular tree	enriched	1.96614e-11
hsa-let-7e-5p	meso-epithelial cell	enriched	9.6724e-11
hsa-let-7e-5p	squamous epithelial cell	enriched	1.79388e-10
hsa-let-7e-5p	leukocyte	depleted	1.34653e-49
hsa-let-7e-5p	hematopoietic cell	depleted	3.86703e-48
hsa-let-7e-5p	lymphocyte	depleted	1.02562e-26
hsa-let-7f-5p	mesodermal cell	enriched	7.70988e-12
hsa-let-7f-5p	monocyte	enriched	9.82586e-07
hsa-let-7f-5p	leukocyte	enriched	1.14329e-06
hsa-let-7f-5p	pluripotent stem cell	depleted	1.19795e-29
hsa-let-7f-5p	embryonic stem cell	depleted	4.34378e-19
hsa-let-7f-5p	stem cell	depleted	9.44605e-10
hsa-let-7g-5p	leukocyte	enriched	2.07276e-53
hsa-let-7g-5p	hematopoietic cell	enriched	1.9908e-51
hsa-let-7g-5p	lymphocyte	enriched	4.16961e-37
hsa-let-7g-5p	epithelial cell	depleted	2.06106e-23
hsa-let-7g-5p	mesodermal cell	depleted	3.53418e-18
hsa-let-7g-5p	muscle cell	depleted	3.34306e-17
hsa-let-7i-5p	mesodermal cell	enriched	6.01941e-09
hsa-let-7i-5p	light melanocyte	enriched	8.00509e-08
hsa-let-7i-5p	neurecto-epithelial cell	enriched	2.74069e-07
hsa-let-7i-5p	pluripotent stem cell	depleted	1.39036e-14
hsa-let-7i-5p	embryonic stem cell	depleted	1.52644e-10
hsa-let-7i-5p	endothelial cell of lymphatic vessel	depleted	1.80674e-06
hsa-miR-1-3p	muscle cell	enriched	8.48949e-17
hsa-miR-1-3p	cell of skeletal muscle	enriched	1.91472e-13
hsa-miR-1-3p	mesodermal cell	enriched	5.78343e-07
hsa-miR-1-3p	epithelial cell	depleted	5.81039e-06
hsa-miR-1-3p	extracellular matrix secreting cell	depleted	0.000315207
hsa-miR-7-5p	neuronal stem cell	enriched	1.26389e-06
hsa-miR-7-5p	stem cell	enriched	2.96611e-05
hsa-miR-7-5p	neural cell	enriched	0.000244054
hsa-miR-7-5p	fat cell	depleted	6.86995e-06
hsa-miR-9-5p	neural cell	enriched	2.65052e-42
hsa-miR-9-5p	neurectodermal cell	enriched	8.9211e-34
hsa-miR-9-5p	ectodermal cell	enriched	9.13598e-31
hsa-miR-9-5p	lining cell	depleted	7.346e-27
hsa-miR-9-5p	squamous epithelial cell	depleted	7.61157e-20
hsa-miR-9-5p	epithelial cell	depleted	1.41317e-19
hsa-miR-10a-5p	kidney epithelial cell	enriched	2.2355e-10
hsa-miR-10a-5p	nephron tubule epithelial cell	enriched	9.88046e-10
hsa-miR-10a-5p	renal cortical epithelial cell	enriched	4.47652e-08
hsa-miR-10a-5p	chondrocyte	depleted	5.3443e-08
hsa-miR-10a-5p	monocyte	depleted	2.53052e-07
hsa-miR-10a-5p	phagocyte	depleted	3.35448e-07
hsa-miR-10b-5p	kidney epithelial cell	enriched	6.24095e-09
hsa-miR-10b-5p	renal cortical epithelial cell	enriched	6.64011e-08
hsa-miR-10b-5p	nephron tubule epithelial cell	enriched	1.05795e-07
hsa-miR-10b-5p	monocyte	depleted	6.43266e-15
hsa-miR-10b-5p	hematopoietic cell	depleted	2.31838e-13
hsa-miR-10b-5p	leukocyte	depleted	2.10307e-12
hsa-miR-15a-5p	leukocyte	enriched	9.77075e-67
hsa-miR-15a-5p	hematopoietic cell	enriched	2.62946e-64
hsa-miR-15a-5p	lymphocyte	enriched	1.75933e-17
hsa-miR-15a-5p	epithelial cell	depleted	2.56057e-18
hsa-miR-15a-5p	lining cell	depleted	1.02988e-12
hsa-miR-15a-5p	fibroblast	depleted	2.33668e-12
hsa-miR-15b-5p	neutrophil	enriched	8.34846e-10
hsa-miR-15b-5p	myeloid leukocyte	enriched	9.61221e-09
hsa-miR-15b-5p	leukocyte	enriched	1.4155e-07
hsa-miR-15b-5p	fat cell	depleted	1.62212e-06
hsa-miR-15b-5p	GAG secreting cell	depleted	4.05337e-05
hsa-miR-15b-5p	adipocyte of omentum tissue	depleted	0.000115137
hsa-miR-16-5p	leukocyte	enriched	1.67159e-38
hsa-miR-16-5p	hematopoietic cell	enriched	9.59798e-37
hsa-miR-16-5p	myeloid leukocyte	enriched	1.63407e-14
hsa-miR-16-5p	epithelial cell	depleted	4.65163e-09
hsa-miR-16-5p	lining cell	depleted	2.45035e-05
hsa-miR-16-5p	vascular associated smooth muscle cell	depleted	2.78517e-05
hsa-miR-17-5p	epithelial cell	enriched	1.51507e-12
hsa-miR-17-5p	pluripotent stem cell	enriched	6.4174e-09
hsa-miR-17-5p	endothelial cell	enriched	7.02326e-09
hsa-miR-17-5p	chondrocyte	depleted	2.21904e-08
hsa-miR-17-5p	GAG secreting cell	depleted	1.84803e-07
hsa-miR-17-5p	fat cell	depleted	3.51186e-06
hsa-miR-18a-5p	epithelial cell	enriched	8.57406e-14
hsa-miR-18a-5p	endothelial cell	enriched	4.69418e-10
hsa-miR-18a-5p	endothelial cell of vascular tree	enriched	2.08669e-07
hsa-miR-18a-5p	fat cell	depleted	2.38608e-07
hsa-miR-18a-5p	GAG secreting cell	depleted	5.30513e-06
hsa-miR-18a-5p	chondrocyte	depleted	1.0501e-05
hsa-miR-18b-3p	pluripotent stem cell	enriched	7.09191e-14
hsa-miR-18b-3p	embryonic stem cell	enriched	5.6135e-09
hsa-miR-18b-3p	iPS	enriched	8.57329e-07
hsa-miR-18b-3p	leukocyte	depleted	3.31768e-11
hsa-miR-18b-3p	hematopoietic cell	depleted	7.21636e-11
hsa-miR-18b-3p	mesodermal cell	depleted	7.31069e-09
hsa-miR-19a-3p	CD14-positive, CD16-positive monocyte	enriched	3.02646e-09
hsa-miR-19a-3p	epithelial cell	enriched	1.08088e-08
hsa-miR-19a-3p	classical monocyte	enriched	5.07529e-08
hsa-miR-19a-3p	GAG secreting cell	depleted	1.11217e-05
hsa-miR-19a-3p	fat cell	depleted	2.95803e-05
hsa-miR-19a-3p	omentum preadipocyte	depleted	5.58511e-05
hsa-miR-19b-3p	leukocyte	enriched	6.77594e-21
hsa-miR-19b-3p	hematopoietic cell	enriched	1.65064e-19
hsa-miR-19b-3p	endothelial cell	enriched	9.8604e-11
hsa-miR-19b-3p	fibroblast	depleted	1.94053e-06
hsa-miR-19b-3p	fat cell	depleted	3.41477e-05
hsa-miR-19b-3p	GAG secreting cell	depleted	3.5276e-05
hsa-miR-20a-5p	pluripotent stem cell	enriched	4.29188e-12
hsa-miR-20a-5p	epithelial cell	enriched	7.80996e-10
hsa-miR-20a-5p	endothelial cell	enriched	2.88042e-07
hsa-miR-20a-5p	chondrocyte	depleted	8.76143e-07
hsa-miR-20a-5p	mesodermal cell	depleted	1.1898e-06
hsa-miR-20a-5p	fat cell	depleted	4.08692e-06
hsa-miR-20b-5p	pluripotent stem cell	enriched	4.53288e-24
hsa-miR-20b-5p	embryonic stem cell	enriched	2.26871e-12
hsa-miR-20b-5p	lymphocyte	enriched	2.50781e-08
hsa-miR-20b-5p	leukocyte	depleted	2.6411e-16
hsa-miR-20b-5p	hematopoietic cell	depleted	9.55693e-15
hsa-miR-20b-5p	mesodermal cell	depleted	7.09373e-13
hsa-miR-21-5p	monocyte	enriched	6.8767e-12
hsa-miR-21-5p	phagocyte	enriched	8.21559e-08
hsa-miR-21-5p	myeloid leukocyte	enriched	9.34132e-08
hsa-miR-21-5p	annulus pulposus cell	depleted	1.3352e-05
hsa-miR-21-5p	neutrophil	depleted	2.04803e-05
hsa-miR-21-5p	Nucleus Pulposus Cell	depleted	0.000140024
hsa-miR-22-3p	mesodermal cell	enriched	4.20004e-11
hsa-miR-22-3p	lining cell	enriched	9.65774e-10
hsa-miR-22-3p	endothelial cell of vascular tree	enriched	4.96973e-09
hsa-miR-22-3p	lymphocyte	depleted	3.18752e-13
hsa-miR-22-3p	leukocyte	depleted	1.48895e-12
hsa-miR-22-3p	hematopoietic cell	depleted	1.64474e-11
hsa-miR-23a-3p	endothelial cell of vascular tree	enriched	3.64846e-11
hsa-miR-23a-3p	myeloid leukocyte	enriched	1.4144e-10
hsa-miR-23a-3p	endothelial cell	enriched	1.49131e-09
hsa-miR-23a-3p	meso-epithelial cell	depleted	7.29454e-11
hsa-miR-23a-3p	lining cell	depleted	8.14274e-10
hsa-miR-23a-3p	fibroblast	depleted	1.91232e-09
hsa-miR-23b-3p	Hepatocyte	enriched	3.35864e-06
hsa-miR-23b-3p	chondrocyte	enriched	1.39641e-05
hsa-miR-23b-3p	GAG secreting cell	enriched	2.22377e-05
hsa-miR-23b-3p	leukocyte	depleted	7.73689e-22
hsa-miR-23b-3p	hematopoietic cell	depleted	2.30821e-19
hsa-miR-23b-3p	endothelial cell	depleted	8.85246e-13
hsa-miR-23c	epithelial cell	depleted	7.15142e-05
hsa-miR-23c	meso-epithelial cell	depleted	9.45773e-05
hsa-miR-23c	lining cell	depleted	0.00013648
hsa-miR-24-3p	myeloid leukocyte	enriched	8.53774e-09
hsa-miR-24-3p	corneal epithelial cell	enriched	1.60842e-06
hsa-miR-24-3p	extraembryonic cell	enriched	6.37076e-06
hsa-miR-24-3p	stem cell	depleted	1.7648e-07
hsa-miR-24-3p	fibroblast	depleted	2.65597e-07
hsa-miR-24-3p	meso-epithelial cell	depleted	9.9965e-06
hsa-miR-25-3p	pluripotent stem cell	enriched	8.40441e-22
hsa-miR-25-3p	iPS	enriched	1.74017e-12
hsa-miR-25-3p	leukocyte	enriched	4.07451e-10
hsa-miR-25-3p	mesodermal cell	depleted	3.06826e-14
hsa-miR-25-3p	epithelial cell	depleted	2.00268e-12
hsa-miR-25-3p	endothelial cell	depleted	3.49945e-07
hsa-miR-26a-5p	leukocyte	enriched	1.1704e-50
hsa-miR-26a-5p	hematopoietic cell	enriched	6.88329e-49
hsa-miR-26a-5p	myeloid leukocyte	enriched	6.61039e-15
hsa-miR-26a-5p	epithelial cell	depleted	3.84902e-13
hsa-miR-26a-5p	squamous epithelial cell	depleted	3.41094e-09
hsa-miR-26a-5p	endothelial cell	depleted	2.28661e-08
hsa-miR-26b-5p	leukocyte	enriched	5.92096e-95
hsa-miR-26b-5p	hematopoietic cell	enriched	7.35592e-91
hsa-miR-26b-5p	myeloid leukocyte	enriched	4.49181e-30
hsa-miR-26b-5p	epithelial cell	depleted	2.84516e-21
hsa-miR-26b-5p	muscle cell	depleted	8.01467e-16
hsa-miR-26b-5p	fibroblast	depleted	2.98204e-15
hsa-miR-27a-3p	meso-epithelial cell	enriched	1.17777e-07
hsa-miR-27a-3p	epithelial cell	enriched	1.19832e-07
hsa-miR-27a-3p	lining cell	enriched	8.15755e-07
hsa-miR-27a-3p	stem cell	depleted	4.30316e-08
hsa-miR-27a-3p	fibroblast	depleted	1.67073e-07
hsa-miR-27a-3p	muscle cell	depleted	1.74731e-07
hsa-miR-27b-3p	Hepatocyte	enriched	1.74434e-09
hsa-miR-27b-3p	endodermal cell	enriched	7.28398e-09
hsa-miR-27b-3p	endo-epithelial cell	enriched	4.36671e-08
